question,answer,page,made_date
私はいとこのようになりたい。,I want to be like my cousin.,P88,2022/02/20
彼女のことを次の授業で話してもらえますか？,Can you make a speech about her in our next class?,P88,2022/02/20
彼女は医者として様々な国々で働いています。,She works as a doctor in different countries.,P88,2022/02/20
ときどきそれは難しいことですが、彼女はベストを尽くしています。,"It's sometimes difficult, but she tries to do her best.",P89,2022/02/20
私は彼女のようになりたい。,I want to be like her.,P89,2022/02/20
自分の将来の仕事はわからないけれど、私も他の人を助けたいと思います。,"I'm not sure about my future job, but I want to help others, too.",P89,2022/02/20
彼女は彼女を必要としている人を助けたいのです。,She wants to help people in need.,P89,2022/02/20
そのお母さんは彼女の子供を助けたい。,The mother wants to help her child.,P89,2022/02/20
彼女は子供を病院へ連れていきたい。,She wants to take her child to the hospital.,P89,2022/02/20
彼は水が飲みたい。,He wants to drink water.,P89,2022/02/20
あなたは今、何がしたいの？,What do you want to do now?,P89,2022/02/20
私はあそこのエスニック料理が食べたいわ。,I want to try some ethnic food over there.,P90,2022/02/20
わお、めっちゃ人並んで待ってるやん。,"Oh, but many people are waiting in line.",P90,2022/02/20
あなたは今何が食べたいの？,What do you want to eat?,P90,2022/02/20
グリーンカレーを食べたい。,I want to eat green curry.,P90,2022/02/20
あなたは今何が飲みたいの？,What do you want to drink?,P90,2022/02/20
お茶を飲みたいです。,I want to drink tea.,P90,2022/02/20
あなたは今どこに行きたいの？,Where do you want to go?,P90,2022/02/20
家に帰りたいです。,I want to go home.,P90,2022/02/20
この写真の子どもたちを見てください。,Look at the children in this picture.,P92,2022/02/20
彼らはきれいな水を井戸から汲み出しています。,They're getting clean water from a well.,P92,2022/02/20
彼らはとても幸せそうです。,They look happy.,P92,2022/02/20
一方、一部の村では、子供たちが川に行って水を集めていました。,"On the other hand, in some villages, children got to the river and collect water.",P92,2022/02/20
彼らは毎日長い時間歩いています。,They walk for a long time every day.,P92,2022/02/20
彼らは学校に行きたいけど時間がありません。,"They want to go to school, but they don't have time.",P92,2022/02/20
私たちボランティアグループは、このような場所に井戸を建設しています。,Our volunteer group builds wells in places like this.,P92,2022/02/20
私たちはお金を集めています。,We're collecting money.,P92,2022/02/20
私たちはあなたたちの助けが必要です。,We need your help.,P92,2022/02/20
暑いです。,It is hot.,P92,2022/02/20
この少年はお腹がすいています。,The boy is hungry.,P92,2022/02/20
彼はのども渇いています。,"He is thirsty, too.",P92,2022/02/20
私は冬休みに友達とロンドンに行きました。,I traveled to London with my friend during winter vacation.,P103,2022/02/20
私たちはそこに一週間滞在しました。,We stayed there for a week.,P103,2022/02/20
12月31日の午後に大英博物館へ行きました。,"On the afternoon of December 31, we visited the British Museum.",P103,2022/02/20
美術館を三時間見回りました。,We looked around the museum for three hours.,P103,2022/02/20
いっぱい面白いものがありました。,It is full interesting things.,P103,2022/02/20
私たちは夜に劇場でミュージカルを見ました。,"In the evening, we watched a musical at a theater.",P103,2022/02/20
私の好きな俳優が主要な部分を演じていました。,My favorite actor played a leading part.,P103,2022/02/20
私たちは素敵な曲を聞けたのでとても楽しかったです。,We listened to some wonderful songs and enjoyed the performance very much.,P103,2022/02/20
私は2012年にロンドンへ旅行しました。,I traveled to London in 2012.,P103,2022/02/20
私はそこでオリンピックを楽しみました。,I enjoyed the olympic games there.,P103,2022/02/20
私はサッカーを8月3日に見ました。,I watched soccer games on August 3rd.,P103,2022/02/20
私の友達と私はビッグベンという有名な時計塔で夜を過ごしました。,"My friend and I spent the night near Big Ben, a famous clock tower.",P103,2022/02/20
ロンドンの地下鉄「TheTube」でウェストミンスター駅まで行きました。,"We took ""the Tube,"" London's subway, to Westminster Station.",P103,2022/02/20
私たちはフィッシュアンドチップスを食べて歩き回りました。,"We ate a fish and chips, and walked around.",P103,2022/02/20
たくさんの人が時計塔の近くに来て立っていました。,Many people came and stood near the clock tower.,P103,2022/02/20
私たちはみんな一緒に新年までカウントダウンしました。,We all counted down to the New Year together.,P103,2022/02/20
真夜中に、私たちはいくつかの素晴らしい花火を見ました。,"At midnight, we saw some great fireworks.",P103,2022/02/20
人々はお互いにあけましておめでとうと言い合いました。,"People said, ""Happy New Year!"" to each other.",P103,2022/02/20
私はとても幸せに感じました。,I felt so happy.,P103,2022/02/20
私達は素晴らしい時間を過ごしました。,We had a wonderful time.,P103,2022/02/20
元日は何をしましたか？,What did you do on New Year's Day?,P103,2022/02/20
早く起きて家族と一緒に神社に行きました。,I got up early and went to a shrine with my family.,P103,2022/02/20
それはすばらしい。,That's nice.,P103,2022/02/20
伝統的なお正月の食べ物を食べましたか？,Did you eat any traditional New Year's food?,P103,2022/02/20
おせちを食べました。,We ate osechi.,P103,2022/02/20
あなたとあなたの両親がそれを作ったのですか？,Did you and your parents make it?,P103,2022/02/20
かいとのお母さんが作って持ってきてくれました。,Kaito's mother made and brought it to us.,P103,2022/02/20
あなたは何をした？ ,What did you do?,P103,2022/02/20
私たちはどこにも行きませんでした。,We didn't go anywhere.,P103,2022/02/20
私達は家でリラックスしました。,We just relaxed at home together.,P103,2022/02/20
私は冬休みにどこにも旅行しませんでした。,I didn't travel anywhere during the winter vacation.,P103,2022/02/20
私達は元日の前日に蕎麦を食べました。,We ate soba on New Year's Eve.,P103,2022/02/20
私達は元日に神社に行きました。,We go to a shrine on New Year's Day.,P103,2022/02/20
テニスをしましょう。,Let's play tennis.,P999,2022/02/20
あなたは今何をしていますか？,What are you doing now?,P999,2022/02/20
あなたは昨夜何をしましたか？,What did you do last night?,P999,2022/02/20
（英語で答えよ) What did Tony do last night? →（本を読んだ）,He read books.,P999,2022/02/20
彼は今何をしていますか？,What is he doing now?,P999,2022/02/20
彼は何をしますか？,What does he do?,P999,2022/02/20
彼は何をしましたか？,What did he do?,P999,2022/02/20
彼は何を食べていますか？,What is he eating?,P999,2022/02/20
彼は何を食べましたか？,What did he eat?,P999,2022/02/20
彼は朝食を食べています。,He is having breakfast.,P999,2022/02/20
彼は朝食を食べました。,He had breakfast.,P999,2022/02/20
彼は朝食を食べませんでした。,He didn't have breakfast.,P999,2022/02/20
私達はギターを弾いています。,We are playing guitars now.,P999,2022/02/20
私達はギターをひきません。,We don't play guitars.,P999,2022/02/20
私達はギターを弾きました。,We played guitars.,P999,2022/02/20
私達はギターを弾きませんでした。,We didn't play guitars.,P999,2022/02/20
私は風を感じている。,I am feeling a wind.,P999,2022/02/20
私は風を感じた。,I felt a wind.,P999,2022/02/20
私は風を感じませんでした。,I didn't feel a wind.,P999,2022/02/20
（英語で答えよ）What are they doing now? （朝食を食べている）,They are having breakfast.,P999,2022/02/20
ライオンたちは何をしていますか？,What are lions doing now?,P999,2022/02/20
ライオンたちはその時何をしましたか？,What did lions do at the time?,P999,2022/02/20
ライオンたちは餌を持ってきました。,Lions brought their foods.,P999,2022/02/20
ライオンたちは朝何をしますか？,What do lions do in the morning?,P999,2022/02/20
そのライオンは朝何をしますか？,What dose the lion do in the morning?,P999,2022/02/20
そのライオンは朝何をしましたか？,What did the lion do in the morning?,P999,2022/02/20
そのライオンは今何をしていますか？,What is the lion doing now?,P999,2022/02/20
彼はその時、風を感じませんでした。,He didn't fell a wind at the time.,P999,2022/02/20
彼は風を感じました。,He felt a wind.,P999,2022/02/20
彼は今、風を感じています。,He is feeling a wind.,P999,2022/02/20
（英語で答えよ）What did she play last night? （ピアノ）,She played the piano last night.,P999,2022/02/20
（英語で答えよ）What did you play last night? (ギター）,I played the guitar last night.,P999,2022/02/20
（英語で答えよ）What did he bring last night? (ギター）,He brought the guitar last night.,P999,2022/02/20
（英語で答えよ）What did they bring last night? (ピアノ）,They brought the piano last night.,P999,2022/02/20
（英語で答えよ）What does he bring? （ピアノ）,He brings the piano.,P999,2022/02/20
（英語で答えよ）What do you bring?,We bring the piano.,P999,2022/02/20
