question,answer,page,category,made_date
私はいとこのようになりたい。,I want to be like my cousin.,P88,textbook,2022-02-22
彼女のことを次の授業で話してもらえますか？,Can you make a speech about her in our next class?,P88,textbook,2022-02-22
彼女は医者として様々な国々で働いています。,She works as a doctor in different countries.,P88,textbook,2022-02-22
ときどきそれは難しいことですが、彼女はベストを尽くしています。,"It's sometimes difficult, but she tries to do her best.",P89,textbook,2022-02-22
私は彼女のようになりたい。,I want to be like her.,P89,textbook,2022-02-22
自分の将来の仕事はわからないけれど、私も他の人を助けたいと思います。,"I'm not sure about my future job, but I want to help others, too.",P89,textbook,2022-02-22
彼女は彼女を必要としている人を助けたいのです。,She wants to help people in need.,P89,textbook,2022-02-22
そのお母さんは彼女の子供を助けたい。,The mother wants to help her child.,P89,textbook,2022-02-22
彼女は子供を病院へ連れていきたい。,She wants to take her child to the hospital.,P89,textbook,2022-02-22
彼は水が飲みたい。,He wants to drink water.,P89,textbook,2022-02-22
あなたは今、何がしたいの？,What do you want to do now?,P89,textbook,2022-02-22
私はあそこのエスニック料理が食べたいわ。,I want to try some ethnic food over there.,P90,textbook,2022-02-22
わお、めっちゃ人並んで待ってるやん。,"Oh, but many people are waiting in line.",P90,textbook,2022-02-22
あなたは今何が食べたいの？,What do you want to eat?,P90,textbook,2022-02-22
グリーンカレーを食べたい。,I want to eat green curry.,P90,textbook,2022-02-22
あなたは今何が飲みたいの？,What do you want to drink?,P90,textbook,2022-02-22
お茶を飲みたいです。,I want to drink tea.,P90,textbook,2022-02-22
あなたは今どこに行きたいの？,Where do you want to go?,P90,textbook,2022-02-22
家に帰りたいです。,I want to go home.,P90,textbook,2022-02-22
この写真の子どもたちを見てください。,Look at the children in this picture.,P92,textbook,2022-02-22
彼らはきれいな水を井戸から汲み出しています。,They're getting clean water from a well.,P92,textbook,2022-02-22
彼らはとても幸せそうです。,They look happy.,P92,textbook,2022-02-22
一方、一部の村では、子供たちが川に行って水を集めていました。,"On the other hand, in some villages, children got to the river and collect water.",P92,textbook,2022-02-22
彼らは毎日長い時間歩いています。,They walk for a long time every day.,P92,textbook,2022-02-22
彼らは学校に行きたいけど時間がありません。,"They want to go to school, but they don't have time.",P92,textbook,2022-02-22
私たちボランティアグループは、このような場所に井戸を建設しています。,Our volunteer group builds wells in places like this.,P92,textbook,2022-02-22
私たちはお金を集めています。,We're collecting money.,P92,textbook,2022-02-22
私たちはあなたたちの助けが必要です。,We need your help.,P92,textbook,2022-02-22
暑いです。,It is hot.,P92,textbook,2022-02-22
この少年はお腹がすいています。,The boy is hungry.,P92,textbook,2022-02-22
彼はのども渇いています。,"He is thirsty, too.",P92,textbook,2022-02-22
私は冬休みに友達とロンドンに行きました。,I traveled to London with my friend during winter vacation.,P103,textbook,2022-02-22
私たちはそこに一週間滞在しました。,We stayed there for a week.,P103,textbook,2022-02-22
12月31日の午後に大英博物館へ行きました。,"On the afternoon of December 31, we visited the British Museum.",P103,textbook,2022-02-22
美術館を三時間見回りました。,We looked around the museum for three hours.,P103,textbook,2022-02-22
いっぱい面白いものがありました。,It is full interesting things.,P103,textbook,2022-02-22
私たちは夜に劇場でミュージカルを見ました。,"In the evening, we watched a musical at a theater.",P103,textbook,2022-02-22
私の好きな俳優が主要な部分を演じていました。,My favorite actor played a leading part.,P103,textbook,2022-02-22
私たちは素敵な曲を聞けたのでとても楽しかったです。,We listened to some wonderful songs and enjoyed the performance very much.,P103,textbook,2022-02-22
私は2012年にロンドンへ旅行しました。,I traveled to London in 2012.,P103,textbook,2022-02-22
私はそこでオリンピックを楽しみました。,I enjoyed the olympic games there.,P103,textbook,2022-02-22
私はサッカーを8月3日に見ました。,I watched soccer games on August 3rd.,P103,textbook,2022-02-22
私の友達と私はビッグベンという有名な時計塔で夜を過ごしました。,"My friend and I spent the night near Big Ben, a famous clock tower.",P103,textbook,2022-02-22
ロンドンの地下鉄「TheTube」でウェストミンスター駅まで行きました。,"We took ""the Tube,"" London's subway, to Westminster Station.",P103,textbook,2022-02-22
私たちはフィッシュアンドチップスを食べて歩き回りました。,"We ate a fish and chips, and walked around.",P103,textbook,2022-02-22
たくさんの人が時計塔の近くに来て立っていました。,Many people came and stood near the clock tower.,P103,textbook,2022-02-22
私たちはみんな一緒に新年までカウントダウンしました。,We all counted down to the New Year together.,P103,textbook,2022-02-22
真夜中に、私たちはいくつかの素晴らしい花火を見ました。,"At midnight, we saw some great fireworks.",P103,textbook,2022-02-22
人々はお互いにあけましておめでとうと言い合いました。,"People said, ""Happy New Year!"" to each other.",P103,textbook,2022-02-22
私はとても幸せに感じました。,I felt so happy.,P103,textbook,2022-02-22
私達は素晴らしい時間を過ごしました。,We had a wonderful time.,P103,textbook,2022-02-22
元日は何をしましたか？,What did you do on New Year's Day?,P103,textbook,2022-02-22
早く起きて家族と一緒に神社に行きました。,I got up early and went to a shrine with my family.,P103,textbook,2022-02-22
それはすばらしい。,That's nice.,P103,textbook,2022-02-22
