question,answer,page,category,made_date
ガスバーナーにマッチで点火するとき、まず空気調節ねじ（A)かガス調節ねじ（B)を時計回り（a）か反時計回り（b）のどちらに回すと良いか。アルファベットで答えなさい,Bをbの向きに回す,P10,correction,2021/05/31
ガスバーナーの火をけすとき、まず空気調節ねじ（A)かガス調節ねじ（B)を右（a）か左（b）のどちらに回すと良いか。アルファベットで答えなさい,Aをaの向きに回す,P10,correction,2021/05/31
火山ガスの主成分となる気体は何か,硫化水素,P10,correction,2021/05/31
天然ガス（都市ガス）の主成分となる気体はどれか,メタン,P10,correction,2021/05/31
黄緑色をしていて、殺菌・漂白作用がある気体はどれか,塩素,P10,correction,2021/05/31
塩化アンモニウムに何を加えるとアンモニアができるか,水酸化カルシウム,P10,correction,2021/05/31
アンモニアを入れたフラスコにスポイトでフェノールフタレイン溶液を少し加えた水を入れると赤色の噴水が上がった。なぜ噴水が上がるのか,アンモニアは水に非常に溶けやすいから,P10,correction,2021/05/31
でんぷんと砂糖が混ざった物質Aに水を加えてろ過を行なった時ろ過をされたろ液には水の他にどんな物質が含まれているか,砂糖,P10,correction,2021/05/31
ろ紙の穴・デンプンの粒子・砂糖の粒子のうち最も小さいのはどれですか,砂糖の粒子,P10,correction,2021/05/31
鉄の塊とプラスチックの塊を液体の水に入れたところ、鉄の塊は沈み、プラスチックの塊は浮いた。このとき用いた、鉄、プラスチック、水をそれぞれ10グラムずつ用意してその体積を比較した。体積の大きい順に答えなさい,プラスチック＞水＞鉄,P10,correction,2021/05/31
質量50.4g、体積4.8㎤の固体の密度を答えなさい,10.5g/㎤,P10,correction,2021/05/31
水が液体→個体→気体へと変化していくことをなんと呼ぶか　　　　　　　,状態変化,P10,correction,2021/05/31
酸素を作るには何と何を混ぜると良いか。２つ答えなさい,二酸化マンガンと過酸化酸素水、過炭酸ナトリウムと約６０度の水,P10,correction,2021/05/31
二酸化炭素を作るには何を混ぜると良いか二つ答えなさい,石灰石と塩酸、炭酸水素ナトリウムと酢酸,P10,correction,2021/05/31
塩素の色は何色か,黄緑色,P10,correction,2021/05/31
塩化水素の水溶液のことをなんと呼ぶか,塩酸,P10,correction,2021/05/31
塩化水素の水溶液は何性を示すか,酸性,P10,correction,2021/05/31
水素を発生させるために必要な物質を答えよ,亜鉛・塩酸,P10,correction,2021/05/31
アンモニアを発生させるために必要な物質を答えよ,水酸化カルシウム・塩化アンモニウム,P10,correction,2021/05/31
塩化コバルト紙に水をつけると何色に変化するか,赤色,P10,correction,2021/05/31
空気よりも重い気体をこの中から全て選べ。酸素・アンモニア・水素・窒素・塩化水素・二酸化炭素・塩素・二酸化硫黄,酸素・塩化水素・二酸化炭素・塩素・二酸化硫黄,P10,correction,2021/05/31
塩酸を近づけると白い煙が生じる気体をこの中から一つ選びなさい。水素・酸素・窒素・アンモニア・二酸化炭素,アンモニア,P10,correction,2021/05/31
特有の匂いがして水に非常によくとけて水溶液はアルカリ性をしめす気体の名前をこの中から選びなさい。アンモニア・二酸化炭素・酸素・塩化水素・水素,アンモニア,P10,correction,2021/05/31
赤色リトマス紙が青色に変わるということは水溶液が何性であることを示しているか,アルカリ性,P10,correction,2021/05/31
酸素は過酸化水素水（オキシドール）を何に滴下するとできるか　,二酸化マンガン,P10,correction,2021/05/31
水素は何に薄い塩酸を加えるとできるか,亜鉛,P10,correction,2021/05/31
空気の中に含まれる窒素と酸素の体積比はおよそ何対何か,4:1,P10,correction,2021/05/31
70℃の水150gに硝酸カリウム、塩化ナトリウム、塩化カリウム、ミョウバン、ホウ酸、硫酸銅それぞれ60gずつ溶かした時全部溶けずに個体が残る物質の名称を全て書きなさい,塩化ナトリウム,P10,correction,2021/05/31
60℃の水100gに硝酸カリウム50g食塩20グラムを混ぜて溶かし、その水溶液を10℃に冷やしたところ結晶が析出した。およそ何gの結晶か。次のア〜エから選び記号で答えなさい。ア21g　イ28g　ウ35g　エ50g,ウ,P10,correction,2021/05/31
60℃、100gの水に食塩、ミョウバン、砂糖をそれぞれ25gずつ加えてよくかき混ぜたところ3つの物質とも全て溶けた。そして3つの水溶液をそれぞれかき混ぜながら水溶液の温度を20℃に下げて様子を観察した。　水溶液の温度を20℃の時砂糖を溶かした水溶液から血漿は出ていなかった。20℃の時の他の二つの物質を溶かした水溶液の様子を答えよ,食塩の水溶液からは何も出ていなかったがミョウバンの水溶液からは結晶が析出していた,P10,correction,2021/05/31
水溶液に置けている物質を血漿として取り出す場合水溶液の温度を下げる方法とは別の方法で結晶を取り出すことができる。その方法を簡潔に書きなさい。またこれらの方法で結晶を取り出すことを何と呼ぶか,水溶液を蒸発させる。再結晶,P10,correction,2021/05/31
ビーカーに水100gを入れ砂糖を20g入れてよくかき混ぜて溶かしました。この時ビーカーに入っている砂糖水の質量は何gですか？,120g,P10,correction,2021/05/31
太陽から来る光はどのように進んでいるように見えるか,平行,P10,correction,2021/05/31
赤色リトマス紙が青色に変わるということは水溶液が何性であることを示しているか,アルカリ性,P10,correction,2021/05/31
酸素は過酸化水素水（オキシドール）を何に滴下するとできるか　,二酸化マンガン,P10,correction,2021/05/31
水素は何に薄い塩酸を加えるとできるか,亜鉛,P10,correction,2021/05/31
空気の中に含まれる窒素と酸素の体積比はおよそ何対何か,4:1,P10,correction,2021/05/31
物質が固体から液体に変化したとき、一般的に密度はどうなるか,大きくなる,P10,correction,2021/05/31
質量が12.8g、体積が5.5㎤の物質の密度は何g/㎤であるか。小数第２位を四捨五入し、小数第１位まで求めましょう。,2.3g/㎤,P10,correction,2021/05/31
密度が2.8g/㎤、体積が5.5㎤の物質の質量は何gですか。小数第２位を四捨五入し、小数第１位まで求めましょう。,1.7g,P10,correction,2021/05/31
光が水中から空気中に出ていく時入射角と屈折角のどちらが大きくなりますか。,屈折角,P10,correction,2021/05/31
入射角が大きくなるにつれて屈折角の大きさはどのようになりますか。,大きくなっていく,P10,correction,2021/05/31
イモリは何類か,両生類,P10,correction,2021/05/31
ヤモリは何類か,は虫類,P10,correction,2021/05/31
ものの形状や用途に注目したときの呼び方をなんと呼ぶか,物体,P10,correction,2021/05/31
物を作っている材料に注目したときの呼び方をなんと呼ぶか,物質,P10,correction,2021/05/31
熱を加えているのに温度が変化しない理由を簡単に答えよ,加えた熱を状態変化に使っているため,P10,correction,2021/05/31
発生させたアンモニアを集めるときアンモニアが溜まったことを確認するために使うものとして適切な物を一つ答えなさい,赤色リトマス紙,P10,correction,2021/05/31
二酸化炭素は石灰石の代わりに、別のものに塩酸を加えても発生させることもできる。石灰石の代わりになる物を、次のア〜サから選日記号で答えなさい。ア、亜鉛　イ、アルミニウム　ウ、貝殻　エ、ジャガイモ　　　　オ、重曹　カ、大理石　キ、卵の殻　ク、鉄　ケ、二酸化マンガン　コ、マグネシウム　サ、レバー,,P10,correction,2021/05/31
炭酸カルシウムを含む物を次のア〜サから選び記号で答えなさい。ア、亜鉛　イ、アルミニウム　ウ、貝殻　エ、ジャガイモ　オ、重曹　カ、大理石　キ、卵の殻　ク、鉄　ケ、二酸化マンガン　コ、マグネシウム　サ、レバー,,P10,correction,2021/05/31
背骨がない動物のことをなんと呼ぶか,無脊椎動物,P10,correction,2021/05/31
内臓が外とう膜で覆われている動物のことをなんと呼ぶか,軟体動物,P10,correction,2021/05/31
入射角と反射角が等しくなることをなんと呼ぶか,反射の法則,P10,correction,2021/05/31
物体に働く重力の大きさをなんと呼ぶか,重さ,P10,correction,2021/05/31
スクリーン側から凸レンズを通して見たとき物体よりも大きい像が見えた。この像が見えるのは物体をどこに置いた時か。凸レンズと焦点に着目して書け。,物体を凸レンズの焦点においた時,P10,correction,2021/05/31
震央からの距離が同じ地震でも震度が違う場所があるのは何故ですか。簡単に書きましょう,地下の岩石の硬さや作りが違うから,P10,correction,2021/05/31
プレートには海のプレートと陸のプレートがある。海のプレートは主に太平洋や大西洋、インド洋などの海底の①で生じる。こうして生じた海のプレートは、①の両側に広がっていく。海のプレートの一つである太平洋プレートは、日本列島付近では②の方向に移動している。①と②に当てはまる言葉を書きなさい。,①海嶺②東から西,P10,correction,2021/05/31
白色や薄い桃色をしていて柱状・短冊状の形をしている火成岩や火山岩に含まれる鉱物はなにか。,チョウ石,P10,correction,2021/05/31
火山灰には一定の形がなく結晶ではない粒が見られることがあるこのような粒をなんと呼びますか？,火山ガラス,P10,correction,2021/05/31
斑状組織で石基ではない部分のことをなんと呼ぶか,斑晶,P10,correction,2021/05/31
安山岩と花こう岩ではなぜ安山岩の方が黒く見えるのか。鉱物という言葉を使って答えなさい。,火山岩の方が花こう岩より有色好物の割合が多いから,P10,correction,2021/05/31
火成岩の中で最も粘り気が小さいものを答えよ,玄武岩,P10,correction,2021/05/31
深成岩の中で最も粘り気が大きいものを答えよ,せん緑岩,P10,correction,2021/05/31
マグマは何の一部がとけてできたものか,岩石,P10,correction,2021/05/31
日本列島では多くの火山は何とほぼ平行に分布していますか。二つ書きなさい,トラフ・海溝,P10,correction,2021/05/31
柱状・短冊状で、白色・うす桃色をした鉱物の名前を答えよ,チョウ石,P10,correction,2021/05/31
斑状組織の中で目に見えるぐらい大きな鉱物をなんと呼ぶか,斑晶,P10,correction,2021/05/31
石灰岩やチャートは何が堆積して固まった岩石ですか？,水に溶けていた物質や生物の遺骸,P10,correction,2021/05/31
地層ができた当時の環境を推測することができる化石のことを何と呼ぶか,示相化石,P10,correction,2021/05/31
地層ができた時代の推測に役立つ化石を何と呼ぶか,示準化石,P10,correction,2021/05/31
地球の歴史はいくつかの時代に区分されています。これを何と呼ぶか,地質年代,P10,correction,2021/05/31
火山灰の層は地質の広がりの推測などに役立ちます。これは、火山灰の堆積の仕方にどのような特徴があるからですか？,広範囲かつほぼ同時期に堆積するから。,P10,correction,2021/05/31
トレーにれき、砂、泥を混ぜた土砂の山を作り、水を流した時、泥が最も遠くに運ばれるの何故か。,粒の小さいものほど沈みにくく、遠くまで運ばれるから,P10,correction,2021/05/31
深成岩はどのようにしてできたか。マグマが冷えた場所と冷えた時間に着目してかけ。,マグマが地下深くで長い時間をかけて冷え、固まってできた,P10,correction,2021/05/31
ア、流紋岩・安山岩・玄武岩　イ、花こう岩・閃りょく岩・斑れい岩　この二つの組み合わせのうち深成岩はどっちか。記号で答えよ,イ,P10,correction,2021/05/31
再結晶により、規則正しい形の個体を取り出すことができ、これを何と呼ぶか,結晶,P10,correction,2021/05/31
温度による溶解度の差を利用し、水溶液の温度を下げたり水を蒸発させたりすると溶けていた物質を取り出すことができる。このことを何と呼ぶか,再結晶,P10,correction,2021/05/31
水溶液に溶けている物質を結晶として取り出す場合水溶液の温度を下げる方法とは別の方法で結晶を取り出すことができる。その方法を簡潔に書きなさい。,水溶液の水を蒸発させる,P10,correction,2021/05/31
食塩水から食塩の一部をと出すにはどのような方法が適当か。「溶解度」という語を用いて理由と方法を簡潔に書きなさい,水溶液の水を蒸発させる,P10,correction,2021/05/31
