question,answer,page,category,made_date,exam
軟体動物の内臓は何で覆われているか,外とう膜,P355,jiyujizai,2021/08/13,all
電流、磁界、力の向きは互いに直交しているという関係を覚えやすくしたのが何の法則であるか,フレミングの左手の法則,P102,jiyujizai,2021/08/13,all
磁界の変化によってコイル内に電流を流そうとする電圧が生じるために起こる現象のことを何とよぶか,電磁誘導,P105,jiyujizai,2021/08/13,all
磁界の変化によってコイル内に電流を流そうとする電圧が生じるために起こった現象のときに流れていた電流のことを何と呼ぶか,誘導電流,P105,jiyujizai,2021/08/13,all
誘導電流の向きは磁石の回転とともに変化する電流となったときこのような電流のことを何と呼ぶか,交流,P107,jiyujizai,2021/08/13,all
乾電池のような電源からの電流は流れる向きが一定で変わらない。このような電流のことを何と呼ぶか,直流,P107,jiyujizai,2021/08/13,all
一秒間に電流の流れる向きが変化する回数を何と呼ぶか,周波数,P108,jiyujizai,2021/08/13,all
周波数は何の単位を使うか,ヘルツ(Hz),P108,jiyujizai,2021/08/13,all
水の中で働く圧力を何と呼ぶか,水圧,P114,jiyujizai,2021/08/13,all
液体に触れている面に対して圧力は同じ大きさに垂直に働くという原理のことを何と呼ぶか,パスカルの原理,P115,jiyujizai,2021/08/13,all
水中の物体に上向きに働く力を何と呼ぶか,浮力,P116,jiyujizai,2021/08/13,all
2つ以上の力と同じ働きをする1つの力を何と呼ぶか,合力,P118,jiyujizai,2021/08/13,all
2つ以上の力の合力を求めることを何と呼ぶか,力の合成,P118,jiyujizai,2021/08/13,all
1つの力と同じ働きをする2つ以上の力を何と呼ぶか,分力,P120,jiyujizai,2021/08/13,all
分力を求めることをなんと呼ぶか,力の分解,P120,jiyujizai,2021/08/13,all
自動車などのスピードメーターに表示される速さは刻々と変化している。このような速さを何と呼ぶか,瞬間の速さ,P123,jiyujizai,2021/08/13,all
物体Aが物体Bに加える力を何と呼ぶか,作用,P129,jiyujizai,2021/08/13,all
力を受けた物体Bが反対に物体Aを押し出す力を何と呼ぶか,反作用,P129,jiyujizai,2021/08/13,all
作用と反作用は力の大きさが等しく同一直線状に働き力の向きは反対である。この関係を何と呼ぶか,作用・反作用の法則,P130,jiyujizai,2021/08/13,all
物体に力が働かないとき、一定の速さで一直線状を進む運動を何と呼ぶか,等速直線運動,P131,jiyujizai,2021/08/13,all
一般に外からの力が働かない限り運動している物体は等速直線運動を続け静止している物体はそのまま静止し続ける。これを何の法則というか,慣性の法則,P131,jiyujizai,2021/08/13,all
物体がそれまでの運動を続けようとする性質を何と呼ぶか,慣性,P131,jiyujizai,2021/08/13,all
静止している状態の物体が初速0で落下する運動をなんと呼ぶか,自由落下運動または自由落下,P135,jiyujizai,2021/08/13,all
物体に力を加えてその物体を移動させたときその力は物体に対して何をしたというか,仕事,P142,jiyujizai,2021/08/13,all
道具を使うと小さな力で物体を動かすことができるが動かす距離が大きくなるので仕事の大きさは変わらない。これを何と呼ぶか,仕事の原理,P142,jiyujizai,2021/08/13,all
仕事の能率は単位時間あたりにする仕事の大きさで比べることができこれを何と呼ぶか,仕事率,P150,jiyujizai,2021/08/13,all
他の物体に対して仕事をする能力をなんと呼ぶか,エネルギー,P152,jiyujizai,2021/08/13,all
高い場所にある物体が落ちたときくいに対して仕事をすることから高い場所にある物体はエネルギーを持っている。このエネルギーを何と呼ぶか,位置エネルギー,P152,jiyujizai,2021/08/14,all
運動している物が物に対して仕事をするとエネルギーを持っているということになる。このエネルギーのことを何と呼ぶか,運動エネルギー,P152,jiyujizai,2021/08/14,all
物体の運動に関わるエネルギーは位置エネルギーと運動エネルギーでありこれらの総和を何と呼ぶか,力学的エネルギー,P156,jiyujizai,2021/08/14,all
位置エネルギーと運動エネルギーの和が常に一定になっている状態を何と呼ぶか,力学的エネルギーの保存,P156,jiyujizai,2021/08/14,all
衝突の前後で力学的エネルギーの保存が成り立つ衝突を何と呼ぶか,弾性衝突,P156,jiyujizai,2021/08/14,all
衝突の前後で力学的エネルギーの保存が成り立たない衝突を何と呼ぶか,非弾性衝突,P156,jiyujizai,2021/08/14,all
エネルギーが別の種類のエネルギーにかわることを何と呼ぶか,エネルギー変換,P157,jiyujizai,2021/08/14,all
エネルギーが別の種類のエネルギーにかわることをエネルギー変換というがこのとき投入されたエネルギー量に対する目的のエネルギーに変換されたエネルギー量の割合を何と呼ぶか,エネルギー変換効率,P157,jiyujizai,2021/08/14,all
エネルギー変換では常にエネルギーの一部が熱に変わっている。このことを何と呼ぶか,エネルギーの損失,P158,jiyujizai,2021/08/14,all
自ら光を発している物体を何と呼ぶか,光源,P18,jiyujizai,2021/08/05,all
物体を作る材料の種類のことを何と呼ぶか,物質,P182,jiyujizai,2021/08/05,all
金属には磨くと光るという特徴がある。この特徴のことをなんと呼ぶか,金属光沢,P183,jiyujizai,2021/08/05,all
金属には叩くと伸びるという特徴があるこの特徴のことをなんと呼ぶか,展性,P183,jiyujizai,2021/08/05,all
金属には引っ張ると伸びて細くなるという特徴がある。この特徴をなんと呼ぶか,延性,P183,jiyujizai,2021/08/05,all
金属には電気抵抗が小さく電気が流れやすい。この特徴をなんと呼ぶか,電気伝導性,P183,jiyujizai,2021/08/05,all
金属には熱をよく通すと言う特徴がある。この特徴をなんと呼ぶか,熱伝導性,P183,jiyujizai,2021/08/05,all
火に塩化銅を入れると火は何色になりますか,緑,P184,jiyujizai,2021/06/29,all
火に塩化ストロンチウムを入れると火は何色になりますか,赤,P184,jiyujizai,2021/06/29,all
火に塩化カルシウムを入れると火は何色になりますか,オレンジ,P184,jiyujizai,2021/06/29,all
火に塩化リチウムを入れると火は何色になりますか,オレンジと赤,P184,jiyujizai,2021/06/29,all
火に塩化ナトリウムを入れると火は何色になりますか,黄色,P184,jiyujizai,2021/06/29,all
火に塩化カリウムを入れると火は何色になりますか,紫,P184,jiyujizai,2021/06/29,all
石灰水に二酸化炭素を入れて振ると石灰水はどんなふうになる？,白く濁る,P185,jiyujizai,2021/06/30,all
謎の物質を調べる時に何を使って調べると良いか。,五感,P185,jiyujizai,2021/06/30,all
国家資格の中にある技能試験のうちの物質を構成している成分の種類や量などを明らかにするために科学分析を行い幅広い分野で活躍する人のことを何技能士と呼ぶ？,化学分析技能士,P186,jiyujizai,2021/06/30,all
炭素を含む物質をなんと呼ぶか,有機物,P187,jiyujizai,2021/06/30,all
有機物以外の物質をなんと呼ぶか,無機物,P187,jiyujizai,2021/06/30,all
有機物は燃えると何が発生するか。2つ答えなさい,二酸化炭素、水,P187,jiyujizai,2021/06/30,all
砂糖は有機物ですか無機物ですか,有機物,P187,jiyujizai,2021/06/29,all
デンプンは有機物ですか無機物ですか,有機物,P187,jiyujizai,2021/06/29,all
プラスチックは有機物ですか無機物ですか,有機物,P187,jiyujizai,2021/06/29,all
食塩は有機物ですか無機物ですか,無機物,P187,jiyujizai,2021/06/29,all
金属は有機物ですか無機物ですか,無機物,P187,jiyujizai,2021/06/29,all
酸素は有機物ですか無機物ですか,無機物,P187,jiyujizai,2021/06/29,all
水は有機物ですか無機物ですか,無機物,P187,jiyujizai,2021/06/29,all
ガラスは有機物ですか無機物ですか,無機物,P187,jiyujizai,2021/06/29,all
二酸化炭素は有機物ですか無機物ですか,無機物,P187,jiyujizai,2021/06/29,all
何薬を使うと、その反応から物質を見分けることができるか,指示薬,P187,jiyujizai,2021/08/25,all
ガスバーナーで火をつけるときまず何がしまっているか確認する？（2つ）,ガス調節ネジ,P188,jiyujizai,2021/08/25,all
ガスバーナーで火をつける直前にガスの何を開くか？,元栓,P188,jiyujizai,2021/08/25,all
ガスバーナーで火をつける時マッチに火をつけ何を少しずつ開いて点火するか？,ガス,P188,jiyujizai,2021/08/25,all
