JP,EN,trial,ratio,n_ok
page,made_date,0,0,0
P42,1974/05/24,0,0,0
P42,1974/05/24,0,0,0
P42,1974/05/24,0,0,0
P42,1974/05/24,0,0,0
P42,1974/05/24,0,0,0
P42,1974/05/24,0,0,0
P42,1974/05/24,0,0,0
P43,1974/05/24,0,0,0
P43,1974/05/24,0,0,0
P43,1974/05/24,0,0,0
P43,1974/05/24,0,0,0
P43,1974/05/24,0,0,0
P43,1974/05/24,0,0,0
P43,1974/05/24,0,0,0
P43,1974/05/24,0,0,0
P44,1974/05/24,0,0,0
P44,1974/05/24,0,0,0
P44,1974/05/24,0,0,0
P44,1974/05/24,0,0,0
P44,1974/05/24,0,0,0
P44,1974/05/24,0,0,0
P44,1974/05/24,0,0,0
P44,1974/05/24,0,0,0
P44,1974/05/24,0,0,0
P44,1974/05/24,0,0,0
P44,1974/05/24,0,0,0
P44,1974/05/24,0,0,0
P44,1974/05/24,0,0,0
P44,1974/05/24,0,0,0
P46,1974/05/24,0,0,0
P46,1974/05/24,0,0,0
P46,1974/05/24,0,0,0
P46,1974/05/24,0,0,0
P47,1974/05/24,0,0,0
P47,1974/05/24,0,0,0
P47,1974/05/24,0,0,0
P47,1974/05/24,0,0,0
P48,1974/05/24,0,0,0
P48,1974/05/24,0,0,0
P48,1974/05/24,0,0,0
P48,1974/05/24,0,0,0
P48,1974/05/24,0,0,0
P49,1974/05/24,0,0,0
P49,1974/05/24,0,0,0
P49,1974/05/24,0,0,0
P49,1974/05/24,0,0,0
P49,1974/05/24,0,0,0
P49,1974/05/24,0,0,0
P49,1974/05/24,0,0,0
P49,1974/05/24,0,0,0
P49,1974/05/24,0,0,0
P49,1974/05/24,0,0,0
P49,1974/05/24,0,0,0
P50,1974/05/24,0,0,0
P50,1974/05/24,0,0,0
P50,1974/05/24,0,0,0
P51,1974/05/24,0,0,0
P51,1974/05/24,0,0,0
P51,1974/05/24,0,0,0
P52,1974/05/24,0,0,0
P52,1974/05/24,0,0,0
P52,1974/05/24,0,0,0
P53,1974/05/24,0,0,0
P53,1974/05/24,0,0,0
P53,1974/05/24,0,0,0
P53,1974/05/24,0,0,0
P54,1974/05/24,0,0,0
P55,1974/05/24,0,0,0
P55,1974/05/24,0,0,0
P55,1974/05/24,0,0,0
P55,1974/05/24,0,0,0
P55,1974/05/24,0,0,0
P55,1974/05/24,0,0,0
P55,1974/05/24,0,0,0
P56,1974/05/24,0,0,0
P56,1974/05/24,0,0,0
P56,1974/05/24,0,0,0
P57,1974/05/24,0,0,0
P57,1974/05/24,0,0,0
P57,1974/05/24,0,0,0
P58,1974/05/24,0,0,0
P58,1974/05/24,0,0,0
P59,1974/05/24,0,0,0
P59,1974/05/24,0,0,0
P59,1974/05/24,0,0,0
P59,1974/05/24,0,0,0
P60,1974/05/24,0,0,0
P60,1974/05/24,0,0,0
P60,1974/05/24,0,0,0
P60,1974/05/24,0,0,0
P60,1974/05/24,0,0,0
P60,1974/05/24,0,0,0
P61,1974/05/24,0,0,0
P61,1974/05/24,0,0,0
P61,1974/05/24,0,0,0
P62,1974/05/24,0,0,0
P62,1974/05/24,0,0,0
P62,1974/05/24,0,0,0
P62,1974/05/24,0,0,0
P63,1974/05/24,0,0,0
P63,1974/05/24,0,0,0
P64,1974/05/24,0,0,0
P64,1974/05/24,0,0,0
P64,1974/05/24,0,0,0
P64,1974/05/24,0,0,0
P64,1974/05/24,0,0,0
P64,1974/05/24,0,0,0
P65,1974/05/24,0,0,0
P65,1974/05/24,0,0,0
P65,1974/05/24,0,0,0
P65,1974/05/24,0,0,0
P65,1974/05/24,0,0,0
P65,1974/05/24,0,0,0
P66,1974/05/24,0,0,0
P66,1974/05/24,0,0,0
P66,1974/05/24,0,0,0
P67,1974/05/24,0,0,0
P67,1974/05/24,0,0,0
P67,1974/05/24,0,0,0
P68,1974/05/24,0,0,0
P68,1974/05/24,0,0,0
P68,1974/05/24,0,0,0
P68,1974/05/24,0,0,0
P68,1974/05/24,0,0,0
P68,1974/05/24,0,0,0
P68,1974/05/24,0,0,0
P68,1974/05/24,0,0,0
P68,1974/05/24,0,0,0
P68,1974/05/24,0,0,0
P68,1974/05/24,0,0,0
P68,1974/05/24,0,0,0
P68,1974/05/24,0,0,0
P68,1974/05/24,0,0,0
P68,1974/05/24,0,0,0
P68,1974/05/24,0,0,0
P68,1974/05/24,0,0,0
P68,1974/05/24,0,0,0
P68,2021/06/27,0,0,0
P68,2021/06/27,0,0,0
P68,2021/06/27,0,0,0
P67,2021/06/27,0,0,0
P67,2021/06/27,0,0,0
P67,2021/06/27,0,0,0
P67,2021/06/27,0,0,0
P65,2021/06/27,0,0,0
P65,2021/06/27,0,0,0
P64,2021/06/27,0,0,0
P65,2021/06/27,0,0,0
P24,2021/06/28,0,0,0
P24,2021/06/28,0,0,0
P24,2021/06/28,0,0,0
P25,2021/06/28,0,0,0
P25,2021/06/28,0,0,0
P25,2021/06/28,0,0,0
P26,2021/06/28,0,0,0
P26,2021/06/28,0,0,0
P27,2021/06/28,0,0,0
P27,2021/06/28,0,0,0
