question,answer,page,made_date
1467年に京都を中心に起こった戦は何と呼ぶか,応仁の乱,P304,2021/08/25
応仁の乱の後には各地に領国内の武士を家臣として従え独自に領国と領民を支配するものが現れた。このような人たちをなんと呼ぶか,戦国大名,P305,2021/08/25
各地で戦乱が繰り広げられた15世紀末からの約100年間をなんと呼ぶか,戦国時代,P305,2021/08/25
義満の時代の文化をなんと呼ぶか,北山文化,P306,2021/08/25
観阿弥・世阿弥父子によって洗練された芸術性の高い何が大成されたか,能,P306,2021/08/25
能は誰によって大成されたか,観阿弥・世阿弥父子,P306,2021/08/25
足利義政は京都の東山に何を建てたか,銀閣,P307,2021/08/25
義政の時代の文化をなんと呼ぶか,東山文化,P307,2021/08/25
日本的な水墨画様式を大成させたのは誰か,雪舟,P307,2021/08/25
能の合間には何が演じられていたか,狂言,P308,2021/08/25
カトリック教会は誰を中心に人々に広まっていったか,ローマ法皇,P314,2021/08/25
7世紀の初めにイスラム帝国を築いたのは誰か,ムハンマド,P314,2021/08/25
モナ＝リザを書いたのは誰か,レオナルド＝ダ＝ヴィンチ,P316,2021/08/25
イタリア人の誰はインドを目指して大西洋を西へと進んだか,コロンブス,P317,2021/08/25
ポルトガル人の誰は世界を一周しようとしたか,マゼラン,P317,2021/08/25
ポルトガル人の誰はインド航路の開拓を命じられて、1498年にカリブ海の西インド諸島に到着したか,バスコ＝ダ＝ガマ,P317,2021/08/25
1543年、暴風雨にあい種子島に漂着した中国船に乗っていたポルトガル人から種子島時たかは何を買ったか,鉄砲,P319,2021/08/25
鉄砲は何人により日本に伝えられたか,ポルトガル人,P319,2021/08/25
1549年にやってきた誰は日本にキリスト教を広めようとしたか,フランシスコ＝ザビエル,P319,2021/08/25
フランシスコ＝ザビエルは1549年に、日本にキリスト教を広めるためにどこに上陸したか,鹿児島県,P319,2021/08/25
南蛮人との貿易をなんと呼ぶか,南蛮貿易,P319,2021/08/25
1560年に起こった戦いで織田信長は今川義元を少数の軍勢で打ち破った。この戦いをなんの戦いと呼ぶか,桶狭間の戦い,P320,2021/08/25
1575年に起こった何の戦いでは、大量の鉄砲を使用した信長軍が武田勝頼に勝利したか,長篠の戦い,P320,2021/08/25
信長は1576年、琵琶湖沿岸に5層7階の壮大な天守を持つ平山城の何城を築き天下統一の本拠地にしたか,安土桃山城,P321,2021/08/25
信長は1576年、琵琶湖沿岸に5層7階の壮大な何を持つ平山城の安土桃山城を築き天下統一の本拠地にしたか,天守,P321,2021/08/25
安土城城下では誰でも自由に商売を行うことを許す何の制策をとり、経済の発展を図ったか,楽市・楽座,P321,2021/08/25
